VICTIM_ID,TYPE,CCR,DATE,TIME,HOUR,LOCATION,bing_type,bing_confidence,bing_latitude,combined_latitude,hand_latitude,bing_longitude,combined_longitude,hand_longitude,,mapquest_type,mapquest_class,mapquest_latitude,mapquest_longitude,CENSUS_TRACT,NEIGHBORHOOD,ZONE,WEAPON,,MOTIVE,VICTIM_RACE,VICTIM_SEX,VICTIM_AGE,ACTOR_CT.
3,Homicide,,1/20/10,235,2,1923 MOUNTFORD AV,Address,High,40.462894,40.462894,,-80.007591,-80.007591,,,house,place,40.46297943,-80.00736846,2509,Fineview,1,HANDGUN,Firearm,,BLACK,MALE,50,0
4,Homicide,,2/13/10,2215,22,7200 FRANKSTOWN AV,Address,High,40.45730822,40.45730822,,-79.89613406,-79.89613406,,,house,place,40.457283,-79.896174,1303,Homewood South,5,HANDGUN,Firearm,,BLACK,MALE,31,1
5,Homicide,,2/14/10,16,0,2321 HOLYOKE ST,Address,High,40.46665573,40.46665573,,-80.01475525,-80.01475525,,,house,place,40.46666155,-80.01466182,2614,Perry South,1,HANDGUN,Firearm,,BLACK,MALE,21,0
6,Homicide,,2/22/10,1948,19,2109 ELMORE SQ,Address,High,40.44290945,40.44290945,,-79.97675121,-79.97675121,,,house,place,40.44288758,-79.97698912,511,Terrace Village,2,HANDGUN,Firearm,,BLACK,MALE,22,0
7,Homicide,,2/25/10,1506,15,PAULOWNA ST & BIGELOW BL,,,,40.451591,40.451591,,-79.975675,-79.975675,,,,,,605,Polish Hill,2,HANDGUN,Firearm,,BLACK,MALE,40,0
8,Homicide,,3/3/10,1354,13,2100 bl BENTLEY DR,Address,High,40.44017226,40.44017226,,-79.97715823,-79.97715823,,,,,,,511,Terrace Village,2,HANDGUN,Firearm,,BLACK,MALE,56,0
10,Homicide,,3/14/10,2204,22,MULLINS ST & ANCY WY,RoadIntersection,High,40.46925008,40.46925008,,-80.03162988,-80.03162988,,,,,,,2715,Marshall-Shadeland,1,HANDGUN,Firearm,,WHITE,MALE,55,2
11,Homicide,,3/15/10,714,7,101 HAZLETT ST,Address,High,40.47745132,40.47745132,,-80.00254822,-80.00254822,,,house,place,40.475937,-80.003175,2609,Northview Height,1,HANDGUN,Firearm,,WHITE,MALE,53,0
12,Homicide,,3/24/10,2315,23,1008 CHARTIERS AV,Address,High,40.444313,40.444313,,-80.040725,-80.040725,,,tertiary,highway,40.4581924,-80.0707873,2020,Elliot,6,HANDGUN,Firearm,,BLACK,MALE,20,1
13,Homicide,,3/27/10,1703,17,6810 FRANKSTOWN AV,Address,High,40.45803,40.45803,,-79.905715,-79.905715,,,house,place,40.458147,-79.905517,1207,Homewood West,5,HANDGUN,Firearm,,WHITE,FEMALE,60,2
