address,bing_type,bing_confidence,bing_latitude,bing_longitude,mapquest_type,mapquest_class,mapquest_latitude,mapquest_longitude
"1923 MOUNTFORD AV PIttsburgh, PA",Address,High,40.462894,-80.007591,house,place,40.4629794263154,-80.0073684621963
"7200 FRANKSTOWN AV PIttsburgh, PA",Address,High,40.45730821788311,-79.8961340636015,house,place,40.457283,-79.896174
"2321 HOLYOKE ST PIttsburgh, PA",Address,High,40.46665573120117,-80.01475524902344,house,place,40.4666615454545,-80.0146618181818
"2109 ELMORE SQ PIttsburgh, PA",Address,High,40.44290944933891,-79.97675120830536,house,place,40.442887582265,-79.9769891237607
"PAULOWNA ST & BIGELOW BL PIttsburgh, PA",,,,,,,,
"2100 bl BENTLEY DR PIttsburgh, PA",Address,High,40.440172255039215,-79.97715823352337,,,,
"MULLINS ST & ANCY WY PIttsburgh, PA",RoadIntersection,High,40.469250082969666,-80.03162987530231,,,,
"101 HAZLETT ST PIttsburgh, PA",Address,High,40.47745132446289,-80.00254821777344,house,place,40.475937,-80.003175
"1008 CHARTIERS AV PIttsburgh, PA",Address,High,40.444313,-80.040725,tertiary,highway,40.4581924,-80.0707873
"6810 FRANKSTOWN AV PIttsburgh, PA",Address,High,40.45803,-79.905715,house,place,40.458147,-79.905517
"STERRET ST & FRANKSTOWN AV PIttsburgh, PA",RoadIntersection,High,40.45689985156059,-79.89413984119892,,,,
"1910 ST IVES ST PIttsburgh, PA",Address,High,40.459747314453125,-80.022705078125,house,place,40.459625,-80.022771
"538 1/2 N MURTLAND ST PIttsburgh, PA",Address,High,40.45542798936367,-79.90229710936546,residential,highway,40.4524166,-79.9045418
"N NEGLEY AV & RIPPEY ST PIttsburgh, PA",RoadIntersection,High,40.46658741690177,-79.92878890128364,,,,
"OVERBROOK BL & WALTON ST PIttsburgh, PA",RoadIntersection,High,40.385209769010544,-79.99279014766216,,,,
"MELLON ST & JANERO ST PIttsburgh, PA",RoadIntersection,High,40.471603200043845,-79.92463579210389,,,,
"4810 MONONGAHELA ST PIttsburgh, PA",Address,High,40.41115188598633,-79.94288635253906,residential,highway,40.4140981,-79.9440748
"3126 SACRAMENTO AV PIttsburgh, PA",Address,High,40.459289,-80.051872,house,place,40.4588446983414,-80.0514643743296
"FRANKSTOWN AV & OAKWOOD ST PIttsburgh, PA",RoadIntersection,High,40.45504979789257,-79.88594971597195,,,,
"2340 EAST HILLS DR PIttsburgh, PA",Address,High,40.45539043843746,-79.87089648842812,house,place,40.4555945540812,-79.8708041644228
"5343 CORNWALL ST PIttsburgh, PA",Address,High,40.46987101435661,-79.9358394742012,house,place,40.4699210156415,-79.9358753836292
"N ST CLAIR ST & HAYS ST PIttsburgh, PA",RoadIntersection,High,40.469030141830444,-79.92502011358738,,,,
"N ST CLAIR ST & HAYS ST PIttsburgh, PA",RoadIntersection,High,40.469030141830444,-79.92502011358738,,,,
"FORMOSA WY & N BRADDOCK AV PIttsburgh, PA",,,,,,,,
"2025 DERAUD ST PIttsburgh, PA",PopulatedPlace,Medium,40.43833923339844,-79.99746704101562,,,,
"2151 ELMORE SQ PIttsburgh, PA",Address,High,40.44201694428921,-79.97669957578182,house,place,40.4427076357714,-79.9771544903679
"2523 CHAUNCEY DR PIttsburgh, PA",Address,High,40.45135639607906,-79.97311614453793,house,place,40.45124623886,-79.9734475008144
"7100 BLK UPLAND ST PIttsburgh, PA",Address,High,40.462528,-79.897392,,,,
"612 HILLSBORO ST PIttsburgh, PA",Address,High,40.45406723022461,-80.05327606201172,house,place,40.4538437831877,-80.0528190299138
"6502 SHETLAND ST PIttsburgh, PA",Address,High,40.46324920654297,-79.90929412841797,house,place,40.4633164,-79.9091524
"611 MONTOOTH ST PIttsburgh, PA",Address,High,40.41688919067383,-80.005615234375,house,place,40.416827,-80.005777
"2126 ELMORE SQ PIttsburgh, PA",Address,High,40.44268146157265,-79.97710324823856,house,place,40.4423968174261,-79.9771943390321
"1142 GOETTMANN ST PIttsburgh, PA",Address,High,40.45835494995117,-79.99030303955078,,,,
"5634 STANTON AV PIttsburgh, PA",Address,High,40.470699310302734,-79.92488861083984,house,place,40.4706893,-79.9249281
"3422 MILWAUKEE ST PIttsburgh, PA",Address,High,40.454383,-79.960838,house,place,40.4544475839166,-79.9609923698865
"836 SHAWNEE ST PIttsburgh, PA",Address,High,40.4504508972168,-79.9599609375,house,place,40.4507245380297,-79.9606437427056
