VICTIM_ID,TYPE,CCR,DATE,TIME,HOUR,LOCATION,CENSUS_TRACT,NEIGHBORHOOD,ZONE,WEAPON,,MOTIVE,VICTIM_RACE,VICTIM_SEX,VICTIM_AGE,ACTOR_CT.
3,Homicide,,1/20/10,0235,2,1923 MOUNTFORD AV,2509,Fineview,1,HANDGUN,Firearm,,BLACK,MALE,50,0
4,Homicide,,2/13/10,2215,22,7200 FRANKSTOWN AV,1303,Homewood South,5,HANDGUN,Firearm,,BLACK,MALE,31,1
5,Homicide,,2/14/10,0016,0,2321 HOLYOKE ST,2614,Perry South,1,HANDGUN,Firearm,,BLACK,MALE,21,0
6,Homicide,,2/22/10,1948,19,2109 ELMORE SQ,0511,Terrace Village,2,HANDGUN,Firearm,,BLACK,MALE,22,0
7,Homicide,,2/25/10,1506,15,PAULOWNA ST & BIGELOW BL,0605,Polish Hill,2,HANDGUN,Firearm,,BLACK,MALE,40,0
8,Homicide,,3/3/10,1354,13,2100 bl BENTLEY DR,0511,Terrace Village,2,HANDGUN,Firearm,,BLACK,MALE,56,0
10,Homicide,,3/14/10,2204,22,MULLINS ST & ANCY WY,2715,Marshall-Shadeland,1,HANDGUN,Firearm,,WHITE,MALE,55,2
11,Homicide,,3/15/10,0714,7,101 HAZLETT ST,2609,Northview Height,1,HANDGUN,Firearm,,WHITE,MALE,53,0
12,Homicide,,3/24/10,2315,23,1008 CHARTIERS AV,2020,Elliot,6,HANDGUN,Firearm,,BLACK,MALE,20,1
13,Homicide,,3/27/10,1703,17,6810 FRANKSTOWN AV,1207,Homewood West,5,HANDGUN,Firearm,,WHITE,FEMALE,60,2
15,Homicide,,4/8/10,0403,4,STERRET ST & FRANKSTOWN AV,1302,Homewood North,5,HANDGUN,Firearm,,BLACK,MALE,30,0
16,Homicide,,5/4/10,1114,11,1910 ST IVES ST,2507,California-Kirkbride,1,HANDGUN,Firearm,,BLACK,MALE,27,1
17,Homicide,,5/8/10,0240,2,538 1/2 N MURTLAND ST,1303,Homewood West,5,HANDGUN,Firearm,,BLACK,MALE,19,1
18,Homicide,,5/30/10,2128,21,N NEGLEY AV & RIPPEY ST,1114,East Liberty,5,HANDGUN,Firearm,,BLACK,MALE,19,2
19,Homicide,,6/3/10,1333,13,OVERBROOK BL & WALTON ST,2904,Carrick,3,HANDGUN,Firearm,,BLACK,MALE,24,0
20,Homicide,,6/16/10,2307,23,MELLON ST & JANERO ST,1115,Highland Park,5,HANDGUN,Firearm,,WHITE,MALE,32,1
22,Homicide,,7/5/10,2218,22,4810 MONONGAHELA ST,1515,Hazelwood,4,HANDGUN,Firearm,,BLACK,MALE,32,0
23,Homicide,,7/7/10,1550,15,3126 SACRAMENTO AV,2018,Sheraden,6,RIFLE,Firearm,,WHITE,MALE,44,1
